seq	time	kind	label	commit	tree	exit	status	secs	envfp	counts	log	command	net	role
001	2026-09-24T09:30:14Z	baseline	baseline	82a43db1b938d8fdf60103bd41f329e06c8d3651	113c0a93af441e26f0d7736ff48c5f1e60e03762	0	pass	1	3709797b8ab9	40/0/41/40/pytest	.orchestrator/logs/001-baseline.log	python3 -m pytest -q 	-	-
002	2026-09-24T09:32:54Z	check	check	de455b7f75fb8b386302387475475cf7638ad3af	4ced98d040b0745f2bd7f49e988dbf87b1760a4b	0	pass	0	3709797b8ab9	48/0/42/48/pytest	.orchestrator/logs/002-check.log	python3 -m pytest -q 	-	-
003	2026-09-24T09:33:02Z	check	check	eb86cc7bd58d679c33f49fec2fc8c7410e550246	0197139e387361ba8bd96428ce56c82922554457	0	pass	1	3709797b8ab9	48/0/42/48/pytest	.orchestrator/logs/003-check.log	python3 -m pytest -q 	-	-
004	2026-09-24T09:33:09Z	run	format	eb86cc7bd58d679c33f49fec2fc8c7410e550246	0197139e387361ba8bd96428ce56c82922554457	0	pass	0	3709797b8ab9	?/?/?/?/unknown	.orchestrator/logs/004-format.log	<workspace>/venv/bin/black --check . 	-	-
005	2026-09-24T09:33:10Z	run	mypy	eb86cc7bd58d679c33f49fec2fc8c7410e550246	0197139e387361ba8bd96428ce56c82922554457	0	pass	1	3709797b8ab9	?/?/?/?/unknown	.orchestrator/logs/005-mypy.log	<workspace>/venv/bin/python -m mypy -p schedule 	-	-
006	2026-09-24T09:33:10Z	run	pytz-tests	eb86cc7bd58d679c33f49fec2fc8c7410e550246	0197139e387361ba8bd96428ce56c82922554457	0	pass	0	3709797b8ab9	90/0/0/90/pytest	.orchestrator/logs/006-pytz-tests.log	<workspace>/venv/bin/python -m pytest -q -p no:cacheprovider test_schedule.py schedule 	-	-
007	2026-09-24T09:33:12Z	run	docs	eb86cc7bd58d679c33f49fec2fc8c7410e550246	0197139e387361ba8bd96428ce56c82922554457	0	pass	2	3709797b8ab9	?/?/?/?/unknown	.orchestrator/logs/007-docs.log	<workspace>/venv/bin/sphinx-build -W -b html -d <workspace>/venv/bin/../doctrees docs <workspace>/venv/bin/../html 	-	-
008	2026-09-24T09:33:12Z	fresh	fresh	eb86cc7bd58d679c33f49fec2fc8c7410e550246	0197139e387361ba8bd96428ce56c82922554457	0	pass	0	3709797b8ab9	48/0/42/48/pytest	.orchestrator/logs/008-fresh.log	env -i PATH=<root>/.local/bin:<root>/.cargo/bin:/usr/local/go/bin:/opt/node22/bin:/opt/maven/bin:/opt/gradle/bin:/opt/rbenv/bin:<root>/.bun/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin TERM=linux SHELL=/bin/bash JAVA_HOME=/usr/lib/jvm/java-21-openjdk-amd64 RUSTUP_HOME=<root>/.rustup HOME=/tmp/orch-fresh.XF6qaC/home TMPDIR=/tmp/orch-fresh.XF6qaC/tmp python3 -m pytest -q 	-	-
009	2026-09-24T09:33:16Z	review-diff	diff	eb86cc7bd58d679c33f49fec2fc8c7410e550246	0197139e387361ba8bd96428ce56c82922554457	0	pass	0	3709797b8ab9		.orchestrator/review/candidate-eb86cc7bd58d.patch	orch.sh diff	-	-
010	2026-09-24T09:39:41Z	review	review	eb86cc7bd58d679c33f49fec2fc8c7410e550246	0197139e387361ba8bd96428ce56c82922554457	-	pass	0	3709797b8ab9			record: orch-verifier PASS on eb86cc7: C1-C7 pass, 0 weekend runs across oracle/random probes; optional: (1) DST-gap at-time carried into Monday after spring-forward weekend skip, (2) weekday.to(N) accepted but skips weekdays; observation: every().hours.weekday -> last unit wins (library convention)	-	-
